date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:05:22	33067/33067	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:21%20GMT	https://templates.envytheme.com/depan/rtl/index.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/index.html	(from )
08:05:22	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Jan%202022%2004:35:21%20GMT	https://templates.envytheme.com/robots.txt		(from )
08:05:24	153210/153210	---MCZ	200	added ('OK')	text/css	etag:W/%225ffc44ae-2567a%22	https://templates.envytheme.com/depan/rtl/assets/css/bootstrap.rtl.min.css	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/css/bootstrap.rtl.min.css	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:25	60556/60556	---MCZ	200	added ('OK')	text/css	etag:W/%225ffc44ae-ec8c%22	https://templates.envytheme.com/depan/rtl/assets/css/animate.min.css	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/css/animate.min.css	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:26	5517/5517	---MCZ	200	added ('OK')	text/css	etag:W/%225ffc44af-158d%22	https://templates.envytheme.com/depan/rtl/assets/css/meanmenu.css	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/css/meanmenu.css	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:27	48846/48846	---MCZ	200	added ('OK')	text/css	etag:W/%225ffc44ae-bece%22	https://templates.envytheme.com/depan/rtl/assets/css/boxicons.min.css	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/css/boxicons.min.css	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:28	3347/3347	---MCZ	200	added ('OK')	text/css	etag:W/%225ffc44af-d13%22	https://templates.envytheme.com/depan/rtl/assets/css/owl.carousel.min.css	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/css/owl.carousel.min.css	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:30	1009/1009	---MCZ	200	added ('OK')	text/css	etag:W/%225ffc44af-3f1%22	https://templates.envytheme.com/depan/rtl/assets/css/owl.theme.default.min.css	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/css/owl.theme.default.min.css	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:31	5235/5235	---MCZ	200	added ('OK')	text/css	etag:W/%225ffc44ae-1473%22	https://templates.envytheme.com/depan/rtl/assets/css/magnific-popup.min.css	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/css/magnific-popup.min.css	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:32	3167/3167	---MCZ	200	added ('OK')	text/css	etag:W/%225ffc44af-c5f%22	https://templates.envytheme.com/depan/rtl/assets/css/nice-select.min.css	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/css/nice-select.min.css	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:33	132983/132983	---MCZ	200	added ('OK')	text/css	etag:W/%225ffc44b0-20777%22	https://templates.envytheme.com/depan/rtl/assets/css/style.css	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/css/style.css	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:34	15000/15000	---MCZ	200	added ('OK')	text/css	etag:W/%225ffc44af-3a98%22	https://templates.envytheme.com/depan/rtl/assets/css/responsive.css	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/css/responsive.css	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:35	14230/14230	---MCZ	200	added ('OK')	text/css	etag:W/%225ffc44af-3796%22	https://templates.envytheme.com/depan/rtl/assets/css/rtl.css	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/css/rtl.css	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:36	3989/3989	---M--	200	added ('OK')	image/png	etag:%225ffc44b4-f95%22	https://templates.envytheme.com/depan/rtl/assets/img/favicon.png	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/favicon.png	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:38	12294/12294	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:21%20GMT	https://templates.envytheme.com/depan/rtl/login.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/login.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:05:39	5916/5916	---M--	200	added ('OK')	image/png	etag:%225ffc44b4-171c%22	https://templates.envytheme.com/depan/rtl/assets/img/logo-1.png	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/logo-1.png	(from https://templates.envytheme.com/depan/rtl/index.html)
